Date,Open,High,Low,Close,Adj Close,Volume
1990-10-08,5.312500,5.375000,5.312500,5.343750,1.430793,4568000
1990-10-09,5.328125,5.328125,5.125000,5.125000,1.372223,6068000
1990-10-10,5.125000,5.234375,4.984375,5.031250,1.347120,6849600
1990-10-11,5.031250,5.125000,4.968750,5.046875,1.351304,7114400
1990-10-12,5.078125,5.250000,5.078125,5.203125,1.393140,8716800
1990-10-15,5.203125,5.328125,5.031250,5.281250,1.414059,7488000
1990-10-16,5.281250,5.375000,5.203125,5.218750,1.397324,6931200
1990-10-17,5.218750,5.312500,5.093750,5.203125,1.393140,7258400
1990-10-18,5.265625,5.437500,5.265625,5.421875,1.451711,14043200
1990-10-19,5.515625,5.718750,5.515625,5.718750,1.531200,18340800
1990-10-22,5.703125,5.703125,5.578125,5.640625,1.510282,13159200
1990-10-23,5.640625,5.703125,5.578125,5.640625,1.510282,7696000
1990-10-24,5.640625,5.718750,5.593750,5.703125,1.527016,7243200
1990-10-25,5.703125,5.765625,5.593750,5.625000,1.506097,7098400
1990-10-26,5.625000,5.625000,5.500000,5.531250,1.480997,6645600
1990-10-29,5.531250,5.578125,5.406250,5.468750,1.464261,6715200
1990-10-30,5.468750,5.609375,5.453125,5.609375,1.501914,7747200
1990-10-31,5.609375,5.671875,5.515625,5.609375,1.501914,6865600
1990-11-01,5.609375,5.640625,5.531250,5.640625,1.510282,5812800
1990-11-02,5.640625,5.687500,5.609375,5.640625,1.510282,5260800
1990-11-05,5.640625,5.718750,5.578125,5.656250,1.514465,4985600
1990-11-06,5.656250,5.656250,5.562500,5.578125,1.493547,4175200
1990-11-07,5.562500,5.562500,5.500000,5.515625,1.476812,6584000
1990-11-08,5.515625,5.593750,5.468750,5.484375,1.468445,5378400
1990-11-09,5.484375,5.609375,5.437500,5.609375,1.501914,6849600
1990-11-12,5.609375,5.671875,5.562500,5.671875,1.518648,7772800
1990-11-13,5.656250,5.656250,5.562500,5.625000,1.506097,5712000
1990-11-14,5.625000,5.734375,5.625000,5.671875,1.518648,8936800
1990-11-15,5.671875,5.687500,5.609375,5.656250,1.514465,5086400
1990-11-16,5.656250,5.718750,5.656250,5.718750,1.531200,10712000
1990-11-19,5.750000,5.875000,5.750000,5.828125,1.560485,8644000
1990-11-20,5.828125,5.875000,5.781250,5.796875,1.552117,5687200
1990-11-21,5.796875,5.843750,5.671875,5.734375,1.535383,8036000
1990-11-23,5.734375,5.812500,5.656250,5.718750,1.531200,2296000
1990-11-26,5.640625,5.640625,5.593750,5.609375,1.556343,6999200
1990-11-27,5.609375,5.765625,5.531250,5.765625,1.599695,9194400
1990-11-28,5.765625,5.781250,5.671875,5.687500,1.578019,4789600
1990-11-29,5.687500,5.734375,5.546875,5.593750,1.552009,6990400
1990-11-30,5.593750,5.828125,5.562500,5.781250,1.604031,12562400
1990-12-03,5.781250,5.875000,5.765625,5.843750,1.621371,8604800
1990-12-04,5.843750,5.875000,5.703125,5.859375,1.625708,5730400
1990-12-05,5.859375,5.953125,5.812500,5.937500,1.647383,6846400
1990-12-06,5.937500,6.062500,5.859375,5.875000,1.630043,8452000
1990-12-07,5.875000,5.890625,5.781250,5.859375,1.625708,7092800
1990-12-10,5.859375,5.921875,5.812500,5.890625,1.634378,4337600
1990-12-11,5.890625,5.906250,5.828125,5.859375,1.625708,3506400
1990-12-12,5.859375,6.046875,5.843750,6.031250,1.673396,8892000
1990-12-13,6.031250,6.109375,5.984375,6.015625,1.669059,4800800
1990-12-14,6.000000,6.000000,5.906250,5.937500,1.647383,5280800
1990-12-17,5.937500,6.015625,5.859375,5.984375,1.660389,4386400
1990-12-18,6.000000,6.125000,6.000000,6.093750,1.690735,6528000
1990-12-19,6.093750,6.125000,5.953125,5.984375,1.660389,7000800
1990-12-20,5.984375,6.046875,5.859375,6.015625,1.669059,8549600
1990-12-21,6.031250,6.093750,6.031250,6.062500,1.682064,14704800
1990-12-24,6.062500,6.062500,5.921875,5.921875,1.643048,4334400
1990-12-26,5.921875,5.968750,5.906250,5.921875,1.643048,3280800
1990-12-27,5.921875,5.921875,5.812500,5.859375,1.625708,3064000
1990-12-28,5.859375,5.859375,5.796875,5.828125,1.617037,2795200
1990-12-31,5.828125,5.843750,5.765625,5.812500,1.612701,2903200
1991-01-02,5.796875,5.796875,5.656250,5.656250,1.569349,6984000
1991-01-03,5.656250,5.734375,5.484375,5.500000,1.525998,10714400
1991-01-04,5.500000,5.671875,5.484375,5.640625,1.565014,11523200
1991-01-07,5.640625,5.656250,5.546875,5.546875,1.539002,7932000
1991-01-08,5.546875,5.578125,5.468750,5.500000,1.525998,9088000
1991-01-09,5.500000,5.671875,5.328125,5.375000,1.491315,11512800
1991-01-10,5.421875,5.500000,5.421875,5.468750,1.517326,5851200
1991-01-11,5.468750,5.562500,5.468750,5.531250,1.534669,5981600
1991-01-14,5.531250,5.578125,5.421875,5.546875,1.539002,10391200
